name,rating,user_ratings_total
楠火锅 Nan Hotpot,4.8,2444
Haidilao Hot Pot London Piccadilly,4.8,11375
大龙燚火锅 Da Long Yi Hot Pot,4.5,526
宁记 Ning’s Fresh Beef Hotpot - Chinatown,4.3,52
Pot Pot Malatang,4.2,547
YGF Yangguofu Malatang Chinatown杨国福麻辣烫中国城店,4.8,531
Hankki London China Town,4.6,1939
Er Mei,4.3,2374
Pot and Rice,4.6,1559
Happy Lamb,4.5,1883
Mai Dim Sum,4.8,58
Teo HotPot 贰捌潮汕火锅,4.8,661
Fengwei Hotpot Restaurant,4.2,14
Chengdu Chengdu,4.4,1622
Majang Dong,4.7,607
Mao Master Hotpot Noodle 帽牌货冒菜伦敦店,4.9,145
Mukbang Pocha,4.5,1158
Hongdae Pocha,4.4,1194
Co&Ko (Jeon's Kitchen),4.7,2012
Chokhi Dhani,4.2,1145
Assa,4.4,2475
Speedboat Bar,4.7,5027
High Yaki,4.4,1081
宁记潮汕牛肉火锅 Ning’s Fresh Beef Hotpot,4.4,380
Hot Pot Howl,4,1
Leongs Legend,4.2,1475
Royal China (Chinatown),4,910
Korean Dinner Party,4.5,1777
One Plus London,4.5,1399
Real Beijing Food House,4,969
Xiao Long Kan | Hotpot London,4.5,535
Mother Mash Carnaby,4.6,3701
Little Korea,4.3,2055
ZhangLiang Malatang,3.6,365
Jinli Flagship Branch,4.1,1007
The Eight Restaurant,4.3,1179
Shack Fuyu Soho,4.5,2701
Bunsik Leicester Square,4.3,2629
Pochawa Grill,4.3,669
Shoryu Ramen Carnaby,4.5,2843
Ichikokudo Hokkaido Ramen,4.4,852
Kanada-Ya 金田家,4.5,1344
Ramo Ramen - Soho,4.2,958
Tonkotsu Selfridges Oxford Street,4.5,560
Shoryu Ramen Soho,4.5,4699
Haidilao Hot Pot at The O2,4.9,6207
Xiongqi Hotpot,4.6,508
